,title,description
39,how truly listen,in soar demonstration deaf percussionist evelyn glennie illustrate listen music involve much more than simply let sound wave hit your eardrum
40,cradle cradle design,architect designer william mcdonough ask what our build product would look like if designer take into account all child all specie all time
41,what you get,eddi reader perform what you do with what you get meditation very ted theme use your gift talent make difference with thomas dolby piano
42,militant atheism,richard dawkins urge all atheist openly state their position fight incursion church into politics science a fiery funny powerful
43,genesis google,google larry page sergey brin offer peek inside google machine share tidbit international search pattern philanthropic google foundation company dedication innovation employee happiness
44,how brain science will change compute,treo creator jeff hawkins urge u take new look at brain see not a fast processor but a memory system store play back experience help u predict intelligently what will happen next
45,how photosynth can connect world image,blaise aguera y arca lead dazzle demo photosynth software could transform way look at digital image use still photo cull web photosynth build breathtaking dreamscapes let u navigate them
46,rethink desktop bumptop,anand agarawala present bumptop user interface take usual desktop metaphor glorious extreme transform file navigation into freewheel playground crumple document wall
47,we can be buddha,in our hyperlinked world can know anything anytime and mass enlightenment say buddhist scholar bob thurman our first step toward buddha nature
48,let rethink america military strategy,in bracingly honest international security strategist thomas barnett outline war solution founder military both sensible breathtaking it simplicity break two
49,new insight poverty,researcher han rosling use cool data tool show country be pull themselves out poverty he demo dollar street compare household vary income level worldwide then do something really amaze
50,i go moon who me,bill stone maverick cave explorer who have plumb earth s deepest aby discus effort mine lunar ice space fuel build an autonomous robot study jupiter s moon europa
51,dangerous meme,start simple tale an ant philosopher dan dennett unleash devastate salvo idea make powerful case existence meme concept be literally alive
52,potential regenerative medicine,alan russell study regenerative medicine breakthrough way think disease injury use process can signal body rebuild itself
53,mystery,poet rive do minute lyrical origami fold history into series coincidence surround most surreal hour morning
54,visualize wonder live cell,medical animator david bolinsky present minute stun animation show bustle life inside cell
55,how i build windmill,when be just year old malawian inventor william kamkwamba build family an windmill spare part work rough plan find library book
56,how educate leader liberal art,a liberal art education critical form true leader say university head patrick awuah because build skill an ethical framework broad vision awuah himself leave career at microsoft u find liberal art school africa ashesi university home nation ghana a passionate dream do lead
57,luke new prosthetic arm soldier,inventor dean kamen preview prosthetic arm s develop at request u department defense his quiet commitment use technology solve problem while honor human spirit have never be more clear
58,what our language habit reveal,in an exclusive preview book i stuff think steven pinker look at language express what go our mind word choose communicate much more than realize
59,surprise decline violence,steven pinker chart decline violence biblical time present argue though may seem illogical even obscene give iraq darfur be live most peaceful time our specie existence
60,habit happiness,what happiness can all get some biochemist turn buddhist monk matthieu ricard say can train our mind habit generate true sense serenity fulfillment
61,fractal at heart african design,be mathematician i would like stand your roof that ron eglash greet many african family meet while research fractal pattern notice village across continent
62,beauty truth physic,arm sense humor laypeople term nobel winner murray drop some knowledge tedsters particle physic ask question like be elegant equation more likely be right than inelegant one
63,a performance mathemagic,in lively show mathemagician arthur benjamin race team calculator figure out square solve another massive mental equation guess few birthday how do do he ll tell
64,why be more compassionate,daniel goleman author emotional intelligence ask why be more compassionate more time
65,dangerous thing should let your kid do,at ted u gever tulley founder tinker school spell out dangerous thing should let your kid do why little danger good both kid grownup
66,tale passion,author activist isabel allende discus woman creativity definition feminism course passion
67,a view,what if human consciousness darwinism what if be all just pawn corn clever strategy game rule earth author michael pollan ask u see world view
68,a preview worldwide telescope,educator roy gould researcher curtis wong show sneak preview microsoft worldwide telescope which compile image telescope satellite build comprehensive interactive view our universe
69,my stroke insight,jill bolte taylor get research opportunity few brain scientist would wish she have massive stroke watch a her brain function motion speech shut down one by one an astonish story
70,my wish once upon school,accept ted prize author dave egger ask ted community personally creatively engage local public school with spellbind eagerness talk valencia tutor center inspire others around world open
71,my wish charter compassion,people want be religious say scholar karen armstrong should help make religion force harmony she ask ted community help build charter compassion restore golden rule a central global religious doctrine
72,a look inside brain real time,neuroscientist inventor christopher decharms demonstrate new way use fmri show brain activity thought emotion pain while happen in other word can actually see feel
73,call learn,clifford stoll captivate audience wildly energetic sprinkle anecdote observation aside even science experiment after all by own definition scientist once i do something i want do something else
74,search true face leonardo,i mona lisa one face planet but would recognize an image leonardo da vinci illustrator siegfried woldhek use some thoughtful technique find what believe true face leonardo
75,question universe,in keep theme professor stephen hawk ask some big question our universe how do universe begin how do life begin be alone discus might go answer them
76,free or cheap wii remote hack,build sophisticate educational tool out cheap part johnny lee demo cool wii remote hack which turn video game controller into digital whiteboard touchscreen viewer
77,cern supercollider,physicist brian cox talk work large hadron collider at cern discus biggest big science an engage accessible way cox bring u along tour massive project
78,how news distort our worldview,alisa miller head public radio international talk why though want know more world than ever medium actually show u le stats graph
79,what wrong what eat,in fiery funny new york time food writer mark bittman weigh what wrong way eat now too much meat too few plant too much fast food too little home cook why put entire planet at risk
80,your gene be not your fate,dean ornish share new research show adopt healthy lifestyle habit can affect person at genetic level for instance say when live healthier eat better exercise love more your brain cell actually increase
81,transformative power classical music,benjamin zander have two infectious passion classical music help u all realize our untapped love by extension our untapped love all new possibility new experience new connection
82,brain love,why do crave love so much even point would die to learn more our very real very physical need romantic love helen fisher her research team take mri people love people who have just be dump
83,my year live biblically,author philosopher prankster journalist aj jacob talk year spend live biblically follow rule bible a literally a possible
84,brain magic,first keith barry show u our brain can fool our body trick work via podcast too then involve audience some even bite dangerous feat brain magic
85,next day web,at eg conference kevin kelly share fun stat world wide web a know only day old now kelly ask can predict what come next day
86,math magic origami,robert lang pioneer newest kind origami use math engineer principle fold intricate design be beautiful sometimes very useful
87,shed light dark matter,physicist patricia burchat shed light two basic ingredient our universe dark matter dark energy comprise universe between them they ca be directly measure but their influence immense
88,card magic twist,like your uncle at family party rumple swedish doctor lennart green say pick card any card but what do those card pure magic flabbergast magic
89,kid can teach themselves,speak at lift sugata mitra talk hole wall project young kid project figure out use pc their own then teach other kid he ask what else can child teach themselves
90,a talk squawk parrot,this whimsical present by einstein african grey parrot her trainer stephanie white simply tickle watch moment when einstein have moment al gore
91,what wrong school lunch,speak at eg conference renegade lunch lady ann cooper talk come revolution way kid eat at school local sustainable seasonal even educational food
92,moral root liberal conservative,psychologist jonathan haidt study five moral value form basis our political choice whether leave right or center in pinpoint moral value liberal conservative tend honor most
93,psychology evil,philip zimbardo know easy nice people turn bad in share insight graphic unseen photo abu ghraib trial then talk flip side easy be hero can rise challenge
94,remember say thank,in deceptively simple laura trice muse power magic word thank deepen friendship repair bond make sure another person know what they mean try
95,human nature blank slate,steven pinker book blank slate argue all human be bear some innate trait here pinker talk thesis why some people find incredibly upset
96,an model universe,physicist surfer garrett lisi present controversial new model universe just maybe answer all big question if nothing else most beautiful model elementary particle force ever see
97,flow secret happiness,mihaly csikszentmihalyi ask what make life worth live note money can not make u happy look those who find pleasure last satisfaction activity bring state flow
98,why do society collapse,why do society fail with lesson norse iron age greenland deforest easter island montana jar diamond talk sign collapse near if see time can prevent
99,tidy up art,ursus wehrli share vision cleaner more organize tidier form art by deconstruct paint modern master into their component piece sort by color size
100,design universe,at serious play astrophysicist george smoot show stun new image survey prod u ponder cosmos it giant web dark matter mysterious gap void get build way
101,why make bad decision,dan gilbert present research data exploration happiness share some surprise test experiment can also try yourself watch through end sparkle q a some familiar ted face
102,price happiness,can happiness be buy to find out author benjamin wallace sample world most expensive product include bottle chateau cheval blanc ounce kobe beef fabled notorious kopi luwak coffee his critique may surprise
103,hunt general tso,reporter jennifer lee talk her hunt origin familiar dish explore hide spot where these two culture have so tastily combine form new cuisine
104,what consumer want,customer want feel what they buy authentic but mass customization author joseph pine say sell authenticity tough because well there no such thing he talk few experience may be artificial but make million anyway
105,hypersonic sound other invention,woody norris show off two invention use sound new way include long range acoustic device or lrad he talk untraditional approach invent education because a put almost nothing have be invent yet so what next
106,mosquito malaria education,bill gate hop solve some world biggest problem use new kind philanthropy in passionate yes funny minute ask u consider two big question might answer them and see q a ted blog
107,your elusive creative genius,elizabeth gilbert muse impossible thing expect artist genius share radical idea instead rare person be genius all u have genius it funny personal surprisingly move
108,toy tile each other,mit grad student david merrill demo siftables computerize tile can stack shuffle your hand these can do math play music their friend too be next thing learn
109,our loss wisdom,barry schwartz make passionate call practical wisdom a an antidote society go mad bureaucracy he argue powerfully rule often fail u incentive often backfire practical everyday wisdom will help rebuild our world
110,next specie human,while be topple early juan enriquez take stage say really big reboot yet come but do look stock exchange or political ballot it come science lab promise keener body mind our kid be go be different
111,join seti search,seti institute jill tarter make her ted prize wish accelerate our search cosmic company use grow array radio telescope she her team listen pattern may be sign intelligence elsewhere universe
112,learn dirty job,mike rowe host dirty job tell some compel horrify job story listen insight observation nature hard work s be unjustifiably degrade society today
113,way good design make happy,in design critic don norman turn incisive eye toward beauty fun pleasure emotion a look at design make people happy he name three emotional cue product must hit succeed
114,my pair leg,athlete actor activist aimee mullins talk her prosthetic leg she get dozen amaze pair superpower they grant her speed beauty an extra inch height quite simply she redefine what body can be
115,play more than just fun,a pioneer research play stuart brown say humor game roughhouse flirtation fantasy be more than just fun plenty play childhood make happy smart adult keep up can make u smarter at any age
116,next web,year ago tim invent world wide web for next project build web open link data could do number what web do word picture video unlock our data reframe way use together
117,cute sexy sweet funny,why be baby cute why cake sweet philosopher dan dennett have answer would expect a share evolution counterintuitive reason cute sweet sexy thing plus new theory matthew hurley why joke be funny
118,our buggy moral code,behavioral economist dan ariely study bug our moral code hide reason think ok cheat or steal sometimes clever study help make point predictably irrational can be influence way ca grasp
119,how grow fresh air,researcher kamal meattle show an arrangement three common houseplant use specific spot home or office build can result measurably cleaner indoor air
120,difference between win succeed,with profound simplicity coach john wooden redefine success urge u all pursue best ourselves in inspire share advice give player at ucla quote poetry remember father wisdom
121,how bacteria,bonnie bassler discover bacteria each other use chemical language let them coordinate defense mount attack find have stun implication medicine industry our understand ourselves
122,our antisocial phone trick,in funny actually poignant social strategist renny gleeson break down our social world where experience have right now le interest than what tweet later
123,smash fear learn anything,from eg conference productivity guru tim ferriss fun encourage anecdote show one simple question what worst could happen all need learn do anything
124,grow evidence brain plasticity,neuroscientist michael merzenich look at one secret brain incredible power it ability actively itself he research way harness brain plasticity enhance our skill recover lose function
125,tribe lead,seth godin argue internet have end mass market revive human social unit distant past tribe found share idea value tribe give ordinary people power lead make big change he urge u do so
126,be control our own decision,behavioral economist dan ariely author predictably irrational use classic visual illusion own counterintuitive sometimes shock research find show not a rational a think when make decision
127,thing do know orgasm,bonk author mary roach delve into obscure scientific research some century old make surprise claim sexual climax range bizarre hilarious this aim at adult viewer discretion advise
128,do eat marshmallow,in short ted u joachim de posada share landmark experiment delay gratification can predict future success with priceless video kid try their hardest not eat marshmallow
129,world english mania,jay walker explain why two billion people around world be try learn english he share photo audio chinese student rehearse english world second language by thousand
130,happiness it surprise,cognitive researcher nancy etcoff look at happiness way try achieve increase way untethered our real circumstance it surprise effect our body
131,success continuous journey,in typically candid style richard john remind u success not street but constant journey he use story business rise fall illustrate valuable lesson when stop try fail
132,how social medium can make history,while news iran stream world clay shirky show facebook twitter txts help citizen repressive regime report real news bypass censor however briefly end control news change nature politics
133,psychology time,psychologist philip zimbardo say happiness success be root trait most u disregard way orient toward past present future he suggest calibrate our outlook time a first step improve our live
134,teach statistic before calculus,someone always ask math teacher be i go use calculus real life and most u say arthur benjamin answer no he offer bold proposal make math education relevant digital age
135,life lesson through tinker,gever tulley use engage photo footage demonstrate valuable lesson kid learn at tinker school when give tool material guidance these young imagination run wild creative take over build unique boat bridge even roller coaster
136,way brain create mean,information designer tom wujec talk through three area brain help u understand word image feel connection in short tedu ask how can best engage our brain help u better understand big idea
137,explore mind killer,psychopathic killer be basis some tv but what really make them tick neuroscientist jim fallon talk brain scan genetic analysis may uncover rotten wire nature nurture murderer in twist share fascinate family history make work chillingly personal
138,a kinder gentler philosophy success,alain de botton examine our idea success failure question assumption underlie these two judgment be success always earn be failure he make an eloquent witty case move beyond snobbery find true pleasure our work
139,how make filthy water drinkable,too much world lack access clean drink water engineer michael pritchard do something invent portable lifesaver filter which can make most revolt water drinkable second an amaze demo tedglobal
140,puzzle motivation,career analyst dan pink examine puzzle motivation start fact social scientist know but most manager do traditional reward be always a effective a think listen illuminate story maybe way forward
141,a demo wireless electricity,eric giler want untangle our wire live electric power here cover what tech offer demo mit breakthrough version witricity invention may soon recharge your cell phone car pacemaker
142,let my dataset change your mindset,talk at u state department summer han rosling use fascinate software burst myth develop world look new analysis china world mix classic data show
143,how read each other mind,sense motif feel others natural talent human but do do here rebecca saxe share fascinate lab work uncover brain think other people thought judge their action
144,architecture tale,danish architect bjarke ingels rocket through story design his build not only look like nature they act like nature block wind collect solar energy create stun view
145,an inventory invisible,nature mystery meet wit hilarious mix quip fun lesson a comedian writer tv man john lloyd pluck at substance several thing not see
146,what hallucination reveal our mind,neurologist author oliver sack bring our attention charles bonnet syndrome when visually impair people experience lucid hallucination he describe experience patient heartwarming detail walk u through biology phenomenon
147,how i harness wind,at age poverty famine malawian boy build windmill power family home now at william kamkwamba who speak at ted here second time share own word move tale invention change life
148,photograph secret sit,taryn simon exhibit her startle take photography reveal world people would never see otherwise she share two project one document otherworldly location typically keep secret public other involve haunt portrait men convict crime they do not commit
149,power time off,every seven year designer stefan sagmeister close new york studio yearlong sabbatical rejuvenate refresh their creative outlook he explain often overlook value time off show innovative project inspire by time bali
150,tribal leadership,david logan talk five kind tribe human naturally form school workplace even driver license bureau by understand our share tribal tendency can help lead each other become better individual
151,optical illusion show see,beau lotto color game puzzle your vision but they also spotlight what ca normally see your brain work this fun look at your own versatile sense sight reveal evolution tint your perception what really out there
152,new york before city,year after hudson find new york harbor eric sanderson share make map mannahatta fascinate ecology hill river wildlife accurate down block when time square be wetland could get delivery
153,life lesson an ad man,advertise add value product by change our perception rather than product itself rory sutherland make dare assertion change perceive value can be just a satisfy a what consider real value conclusion have interest consequence look at life
154,a brain supercomputer,henry markram say mystery mind can be solve soon mental illness memory perception they make neuron electric signal plan find them supercomputer model all brain synapsis
155,way sound affect u,play sound effect both pleasant awful julian treasure show sound affect u four significant way listen carefully shock fact noisy office
156,lead like great conductor,an orchestra conductor face ultimate leadership challenge create perfect harmony without say word in charm itay talgam demonstrate unique style six great conductor illustrate crucial lesson all leader
157,navigate our global future,a globalization technological advance bring u hurtle towards new integrate future ian goldin warn not all people may benefit equally but say if can recognize danger might yet realize possibility improve life everyone
158,how internet enable intimacy,we worry im texting facebook be spoil human intimacy but stefana broadbent research show communication tech capable cultivate deeper relationship bring love across barrier like distance workplace rule
159,thrill potential sixthsense technology,at tedindia pranav mistry demo several tool help physical world interact world data include deep look at sixthsense device new paper laptop in an onstage q a mistry say software behind sixthsense open it possibility all
160,east west myth mystify,devdutt pattanaik take an look at myth india west show these two fundamentally different set belief god death heaven help u consistently misunderstand one another
161,asia rise when,han rosling be young guest student india when first realize asia have all capacity reclaim it place a world dominant economic force at tedindia graph global economic growth since predict exact date india china will outstrip u
162,why nation should pursue soft power,india fast become superpower say shashi tharoor not just through trade politics but through soft power it ability share it culture world through food music technology bollywood he argue long run not size army matter a much a country ability influence world heart mind
163,fight against sex slavery,sunitha krishnan have dedicate her life rescue woman child sex slavery global market in courageous she tell three powerful story a well a her own call more humane approach help these young victim rebuild their live
164,how make splash social medium,in funny minute alexis ohanian reddit tell fable one humpback whale rise web stardom lesson mister splashy pant classic marketer facebook age
165,metaphorically speak,aphorism enthusiast author jam geary wax fascinate fixture human language metaphor friend scribe aristotle elvis metaphor can subtly influence decision make geary say
166,expose invisible,nick veasey show outsized image reveal otherworldly inner work familiar object geometry wildflower anatomy boeing produce these photo dangerous painstaking but reward superpower look at what human eye ca see
167,how live be,to find path long life health dan buettner team study world blue zone community whose elder live vim vigor age in share common diet lifestyle habit keep them spry past age
168,really achieve your childhood dream,in carnegie mellon professor randy pausch who be die pancreatic cancer deliver last lecture make world stop pay attention this move will teach really achieve your childhood dream unmissable
169,kid take charge,kiran bir sethi show her groundbreaking riverside school india teach kid life most valuable lesson i can watch her student take local issue into their own hand lead other young people even educate their parent
170,how i hold my breath minute,in highly personal tedmed magician stuntman david blaine describe what take hold breath underwater minute world record only two minute shorter than entire what often work mean him warn do not try at home
171,grow new organ,anthony atala lab grow human organ muscle blood vessel bladder more at tedmed show footage work some it gizmo include an bioreactor preheat f machine print human tissue
172,grow up universe,at royal institution richard dawkins ask u look at our universe new eye pack big question illuminate visuals memorable journey through history life magnify splendor evolution our place
173,embrace your inner girl,in passionate eve ensler declare there girl cell u all cell have all be teach suppress she tell heartfelt story girl around world who have overcome shock adversity violence reveal astonish strength be girl
174,weird or just different,there flip side everything say go minute derek sivers show true few way might not expect
175,fringe benefit failure,at her harvard commencement speech harry potter author jk rowling offer some powerful hearten advice dreamer overachiever include one lesson she deem worth more than any qualification i ever earn
176,teach every child food,share powerful story project huntington west virginia shock image sugar eat ted prize winner jamie oliver make case an assault our ignorance food
177,opportunity adversity,thesaurus might equate disable synonym like useless mutilate but runner aimee mullins out redefine word defy these association she show adversity her case be bear without shinbone actually open door human potential
178,innovate zero,at bill gate unveil vision world energy future describe need miracle avoid planetary catastrophe explain why back dramatically different type nuclear reactor necessary goal zero carbon emission globally by
179,world need all kind mind,temple grandin diagnose autism a child talk her mind work share her ability think picture which help her solve problem neurotypical brain might miss she make case world need people autism spectrum visual thinker pattern thinker verbal thinker all kind smart geeky kid
180,how brain learn see,pawan sinha detail groundbreaking research into brain visual system develop sinha team provide free treatment child bear blind then study their brain learn interpret visual data work offer insight into neuroscience engineer even autism
181,watch me play audience,in fun performance world science festival musician bobby mcferrin use pentatonic scale reveal one surprise result way our brain be wire
182,riddle experience memory,use example vacation colonoscopy nobel laureate founder behavioral economics daniel kahneman reveal our experience self our remember self perceive happiness differently this new insight have profound implication economics public policy our own
183,physic fun imagine,in archival footage bbc tv celebrate physicist richard feynman explain what fire magnet rubber band more be like at scale jiggle atom they make this accessible enchant conversation physic reveal teem just plain fun imagine
184,before avatar curious boy,jam cameron even film create unreal world all their own in personal reveal childhood fascination fantastic read science fiction dive ultimately drive success blockbuster hit alien terminator titanic avatar
185,in internet age dance evolve,lxd legion extraordinary dancer electrify stage an emerge global culture rev up by internet in preview jon chu upcoming web series astonish troupe show off their superpower
186,plug into your happiness,we all strive happiness but spend most our live learn be unhappy say srikumar rao in practical teach break free i be happy if mental model embrace our happiness
187,how i fell love fish,chef dan barber square off dilemma face many chef today keep fish menu with impeccable research deadpan humor chronicle pursuit sustainable fish could love foodie honeymoon enjoy since discover an outrageously delicious fish raise use revolutionary farm method spain
188,do what love no excuse,at web expo entrepreneur gary vaynerchuk give shoot arm dreamer who face internet have make formula success simpler than ever argue so there now no excuse not do what make happy
189,suspend animation within our grasp,mark roth study suspend animation art shut down life process then start them up again it wild stuff but not science fiction induce by careful use an otherwise toxic gas suspend animation can potentially help trauma heart attack victim survive long enough be treat
190,game can make better world,game like world warcraft give player mean save world incentive learn habit hero what if could harness gamer power solve problem jane mcgonigal say can explain
191,science can answer moral question,question good evil right wrong be commonly think unanswerable by science but sam harris argue science can should be an authority moral issue shape human value set out what constitute good life
192,how start movement,with help some surprise footage derek sivers explain movement really get start hint take two
193,what adult can learn kid,child prodigy adora svitak say world need childish think bold idea wild creativity especially optimism kid big dream deserve high expectation she say start grownup willingness learn child a much a teach
194,sex drug hiv let get rational,arm brace logic wit her nerd glass elizabeth pisani reveal myriad inconsistency today political system prevent our dollar effectively fight spread hiv her research population junky prison sex worker street cambodia demonstrate sometimes measure could stall spread devastate disease
195,my seven specie robot create them,meet seven robot like humanoid darwin climber build by dennis hong robotics team at romela base at virginia tech watch end five creative secret lab success
196,danger science denial,claim frankenfood ban herbal cure craze all point public grow fear often outright denial science reason say michael specter he warn trend spell disaster human progress
197,photo change world,photograph do more than document history they make at ted university jonathan klein getty image show some most iconic talk what happen when generation see an image so powerful ca look away or back
198,homeopathy quackery fraud,legendary skeptic jam randi take fatal dose homeopathic sleep pill onstage kick off sear indictment irrational belief he throw out challenge world psychic prove what do real i give million dollar no taker yet
199,build tower build team,tom wujec present some surprisingly deep research into marshmallow problem simple exercise involve dry spaghetti one yard tape marshmallow who can build tallest tower these ingredient and why do surprise group always beat average
200,compute theory all knowledge,stephen wolfram creator mathematica talk quest make all knowledge computational able be search process manipulate his new search engine wolfram alpha have no lesser goal than model explain physic underlie universe
201,lie damn lie statistic tedtalks,in brilliantly analysis sebastian wernicke turn tool statistical analysis tedtalks come up metric create optimum tedtalk base user rat how do rate unconvincing or just plain funny
202,how great leader inspire action,simon sinek have simple but powerful model inspirational leadership start golden circle question why his example include apple martin luther king wright brother
203,hide influence social network,we all embed vast social network friend family more nicholas christakis track wide variety trait happiness obesity can spread person person show your location network might impact your life way do even know
204,math class need makeover,today math curriculum teach student expect excel at classwork rob kid skill more important than solve problem formulate them dan meyer show math exercise prompt student stop think
205,it time talk,despite her best effort comedian julia sweeney force tell little white lie when her begin learn frog reproduction start ask some very smart question
206,can eat starve cancer,william li present new way think treat cancer other disease prevent growth blood vessel fee tumor crucial first best step eat food cut off supply line beat cancer at it own game note this be give field science have develop quickly since then enjoy a piece science history but not a last word topic read criticism update below more detail
207,why i weekday vegetarian,we all know argument be vegetarian better environment animal but carnivorous culture can be hard make change graham hill have powerful pragmatic suggestion be weekday veg
208,bring learn revolution,in poignant funny fabled sir ken robinson make case radical shift standardize school personalize learn create condition where kid natural talent can flourish
209,why need explorer,in tough economic time our exploratory science program space probe lhc be first suffer budget cut brian cox explain science pay itself power innovation profound appreciation our existence
210,lose art democratic debate,democracy thrive civil debate michael sandel say but shamefully out practice he lead fun refresher tedsters spar over recent supreme court case pga tour martin whose outcome reveal critical ingredient justice
211,debate do world need nuclear energy,nuclear power energy crisis have even environmentalist reconsider in ted debate stewart brand mark jacobson square off over pro con a discussion make think might even change your mind
212,how architecture help music evolve,a career grow david byrne go play cbgb carnegie hall he ask do venue make music from outdoor drum wagnerian opera arena rock explore context have push musical innovation
213,pattern behind,michael shermer say human tendency believe strange thing alien abduction dowse rod boil down two brain most basic survival skill he explain what they be they get u into trouble
214,let raise kid be entrepreneur,bore school fail class at odds peer this child might be an entrepreneur say cameron herold in make case parent education help entrepreneur flourish a kid a adult
215,measure what make life worthwhile,when dotcom bubble burst hotelier chip conley go search business model base happiness in an old friendship an employee wisdom buddhist king learn success come what count
216,a atlas universe,for last year carter emmart have be coordinate effort scientist artist programmer build complete visualization our know universe he demo stun tour explain be share facility around world
217,do build your home grow,ted fellow urban designer mitchell joachim present vision sustainable organic architecture abode grow plant wait meat
218,global population growth box by box,world population will grow billion over next year only by raise live standard poorest can check population growth this paradoxical answer han rosling unveil at ted cannes use colorful new data display technology see
219,when idea have sex,at tedglobal author matt ridley show throughout history engine human progress have be meet mat idea make new idea it not important clever individual be say what really matter smart collective brain
220,why world need wikileaks,controversial website wikileaks collect post highly classify document video founder julian assange who reportedly be seek question by u authority talk ted chris anderson site operate what have accomplish what drive him interview include graphic footage recent u airstrike baghdad
221,a headset read your brainwave,tan le astonish new computer interface read it user brainwave make possible control virtual object even physical electronics mere thought little concentration she demo headset talk it application
222,art choose,sheena iyengar study make choice feel choice make at tedglobal she talk both trivial choice coke pepsi profound one share her groundbreaking research have uncover some surprise attitude our decision
223,a monkey economy a irrational a ours,laurie santos look root human irrationality by watch way our primate relative make decision a clever series experiment monkeynomics show some silly choice make monkey make too
224,do hear one,a found member axis evil comedy tour standup comic maz jobrani riff challenge conflict be like part me think i should have nuclear program other part think i ca be trust
