,title,description,views
95,et probably out there get ready,seti researcher seth shostak bet will find extraterrestrial life next year or buy cup coffee he explain why new technology law probability make breakthrough so likely predict discovery civilization far more advance than ours might affect u here earth,-1
96,invent instrument unlock new music,tod machover mit medium lab devote extend musical expression everyone virtuoso amateur most diverse form opera video game he composer dan ellsey shed light what next,-1
97,how build company where best idea win,what if know what your coworkers really think what they be really like ray dalio make business case use radical transparency algorithmic create an idea meritocracy where people can speak up say what they really think even call out bos fair game learn more these strategy help dalio create one world most successful hedge fund might harness power group,-1
98,curating humanity heritage,it be say when an elder die a if library burn anthropologist elizabeth lindsey national geographic fellow collect deep cultural knowledge pas down a story lore,-1
99,dare educate afghan girl,imagine country where girl must sneak out go school deadly consequence if they get catch learn this be afghanistan under taliban trace danger remain today shabana run school girl afghanistan she celebrate power family decision believe their daughter tell story one brave father who stand up local threat,-1
100,what really happen when mix medication,if take two different medication two different reason here sober think your doctor may not fully understand what happen when they combine because drug interaction be incredibly hard study in fascinate accessible rus altman show doctor be study unexpected drug interaction use surprise resource search engine query,1
101,song bring history life,rhiannon giddens pour emotional weight american history into her music listen a she perform traditional folk ballad include waterboy up above my head lonesome road by sister rosetta tharp one glorious original song come love come inspire by civil slave narrative,-1
102,how read each other mind,sense motif feel others natural talent human but do do here rebecca saxe share fascinate lab work uncover brain think other people thought judge their action,1
103,america forget work class,vance grow up small poor city rust belt southern ohio where have seat many social ill plague america heroin epidemic fail school family tear apart by divorce sometimes violence in search will echo throughout country town author detail what loss american dream feel like raise an important question everyone community leader policy maker need ask how can help kid america forget place break free hopelessness live better live,-1
104,why do society collapse,why do society fail with lesson norse iron age greenland deforest easter island montana jar diamond talk sign collapse near if see time can prevent,1
105,proof extreme ice loss,photographer jam balog share new image sequence extreme ice survey network camera record glacier recede at an alarm rate some most vivid evidence yet climate change,-1
106,can build ai without lose control over,scar superintelligent ai you should be say neuroscientist philosopher sam harris not just some theoretical way we go build superhuman machine say harris but have yet grapple problem associate create something may treat u way treat ant,1
107,stun data visualization allosphere,joann demo allosphere new way see hear interpret scientific data dive into brain feel electron spin hear music element detect previously unseen pattern could lead new discovery,-1
108,why should love statistic,think good at guess stats guess again whether consider ourselves math people or not our ability understand work number terribly limit say data visualization expert alan smith in delightful smith explore mismatch between what know what think know,1
109,lesson fashion free culture,copyright law grip film music software barely touch fashion industry fashion benefit both innovation sale say johanna blakley in her she talk what all creative industry can learn fashion free culture,-1
110,art crave your attention,in charm artist aparna rao show u her latest work cool cartoony sculpture neat robotic trick underneath them play your perception crave your attention take few minute simply be delight,-1
111,real harm global arm trade,in some part world easier get an automatic rifle than glass clean drink water be just way samantha nutt doctor founder international humanitarian organization war child explore global arm trade suggest bold common sense solution end cycle violence war ours she say we buy sell spread wage we be therefore not powerless solve,-1
112,internet could crash we need plan b,internet connect billion people machine backbone modern life but tech pioneer danny hillis think internet just be design grow big fear one big or glitch could shut down take civilization to head off digital dark age sound clarion call develop plan b parallel system fall back if or when internet crash,1
113,how look inside brain,there have be remarkable advance understand brain but do actually study neuron inside use gorgeous imagery neuroscientist ted fellow carl schoonover show tool let u see inside our brain,-1
114,what i saw war,reporter janine di giovanni have be worst place earth bring back story bosnia sierra leone most recently syria she tell story human moment within large conflict explore shock transition when familiar city street become battleground,-1
115,be control our own decision,behavioral economist dan ariely author predictably irrational use classic visual illusion own counterintuitive sometimes shock research find show not a rational a think when make decision,1
116,progress not game,author robert wright explain network link fortune cooperation have guide our evolution point can use help save humanity today,-1
117,can make thing make themselves,mit researcher skylar tibbits work idea instead build something chair skyscraper can create material build themselves much way strand dna zip itself together it big concept at early stag tibbits show u three project hint at what future might look like,-1
118,next specie human,while be topple early juan enriquez take stage say really big reboot yet come but do look stock exchange or political ballot it come science lab promise keener body mind our kid be go be different,1
119,playtime pleo your robotic dinosaur friend,pleo robot dinosaur act like live pet explore cuddle play react learn inventor caleb chung talk pleo wild toy career at week pleo ship store first time,-1
120,how megacities be change map world,i want reimagine life organize earth say global strategist parag khanna a our expand city grow ever more connect through transportation energy communication network evolve geography what call connectography this emerge global network civilization hold promise reduce pollution inequality even overcome geopolitical rivalry in khanna ask u embrace new maxim future connectivity destiny,-1
121,hunt supermassive black hole,with new data keck telescope andrea ghez show adaptive optic be help astronomer understand our universe most mysterious object black hole she share evidence supermassive black hole may be lurk at center milky way,-1
122,conserve canopy,a unique ecosystem plant bird monkey thrive treetop rainforest nalini nadkarni explore these canopy world share her find world below through dance art bold partnership,-1
123,how data crisis text line save live,when young woman texted heartbreaking cry help organization respond by open nationwide crisis text line people pain nearly million text message later organization use privacy power text message help people handle addiction suicidal thought eat disorder sexual abuse more but there an even bigger win anonymous data collect by text teach u when crisis be most likely happen help school law enforcement prepare them,-1
124,root plant intelligence,plant behave some oddly intelligent way fight predator maximize food opportunity but can think them a actually have form intelligence their own italian botanist stefano mancuso present intrigue evidence,-1
125,to solve mass violence look local,severine autesserre study democratic republic congo which middle deadliest conflict since world war ii be call largest ongoing humanitarian crisis conflict seem hopelessly unsolvably large but her insight decade listen engage conflict be often locally base and instead focus solution scale national level leader aid group might be better serve solve local crisis before they ignite,-1
126,story behind bloodline,taryn simon capture essence vast story by photograph descendant people at center narrative in rivet she show stream these story all over world investigate nature genealogy way our live be shape by interplay many different force,-1
127,what really matter at end life,at end our live what do most wish for many simply comfort respect love bj miller hospice palliative medicine physician who think deeply create dignify graceful end life patient take time savor move which ask big question think death honor life,1
128,transition world without oil,rob hopkins remind u oil our world depend steadily run out he propose unique solution problem transition response where prepare ourselves life without oil sacrifice our luxury build system community be completely independent fossil fuel,-1
129,smash fear learn anything,from eg conference productivity guru tim ferriss fun encourage anecdote show one simple question what worst could happen all need learn do anything,1
130,world most bore television why hilariously addictive,you hear slow food now here slow tv in very funny norwegian television producer thomas hellum share team begin broadcast long bore event often live find rapt audience show include train journey an fish expedition ferry voyage along coast norway result be both beautiful fascinate really,1
131,an electrify acoustic guitar performance,guitar duo rodrigo y gabriela combine furiously fast riff dazzle rhythm create style draw both flamenco guitar heavy metal live performance their song soundmaker,1
132,real reason brain,neuroscientist daniel wolpert start surprise premise brain evolve not think or feel but control movement in entertain give u glimpse into brain create grace agility human motion,1
133,quantify self,at ted cannes gary wolf give intro an intrigue new pastime use mobile apps gadget track analyze your body mood diet spend just everything daily life can measure gloriously geeky detail,-1
134,india invisible innovation,can india become global hub innovation nirmalya kumar think already have he detail four type invisible innovation come out india explain why company use just outsource manufacture job be start move top management position overseas too,-1
135,let help refugee thrive not just survive,today refugee crisis biggest since world war ii grow when be give million people have be forcefully displace their home by conflict war now number million there be million syrian refugee now there be million inside overwhelm crisis be individual human story care growth family face lose education lose home lose future melissa fleming un refugee agency tell refugee story ask u help them rebuild their world,-1
136,voice my head,to all appearance eleanor longden be just like every other student head college full promise without care world that be until voice her head start talk initially innocuous these internal narrator become increasingly antagonistic dictatorial turn her life into live nightmare diagnose schizophrenia hospitalize drug longden be discard by system do know help her longden tell move tale her journey back mental health make case be through learn listen her voice she be able survive,1
137,sustainable seafood let get smart,chef barton seaver present modern dilemma seafood one our healthier protein option but overfishing desperately harm our ocean he suggest simple way keep fish dinner table include every mom favorite adage eat your vegetable,-1
138,connect but alone,a expect more technology do expect le each other sherry turkle study our device online persona be redefine human connection communication ask u think deeply new kind connection want have,1
139,what happen when an ngo admit failure,international aid group make same mistake over over again david damberger analyze own engineer failure india call friend development sector publicly admit scrutinize learn their misstep,-1
140,dance powerpoint modest proposal,instead bore slide deck at your next presentation bring troupe dancer that science writer john bohannon modest proposal spellbind choreograph he make case by example collaboration dancer black label movement,-1
141,a simple way break bad habit,can break bad habit by be more curious them psychiatrist judson brewer study relationship between mindfulness addiction smoke overeat all those other thing do even though know they bad u learn more mechanism habit development discover simple but profound tactic might help beat your next urge smoke snack or check text while drive,1
142,uniqueness human,at stanford university primatologist robert sapolsky offer fascinate funny look at human behavior which rest animal kingdom would consider bizarre,-1
143,lifesaving scientific tool make paper,inventor manu prakash turn everyday material into powerful scientific device paper microscope clever new mosquito tracker from ted fellow stage demo paperfuge centrifuge inspire by spin toy cost cent make can do work machine no electricity require,-1
144,why democracy matter,public lose faith democracy say british mp rory stewart iraq afghanistan s new democracy be deeply corrupt meanwhile percent people britain say politics break in important stewart sound call action rebuild democracy start recognize why democracy important not a tool but a an ideal,-1
145,how ai can enhance our memory work social live,how smart can our machine make u tom gruber siri want make humanistic ai augment collaborate u instead compete or replace u he share vision future where ai help u achieve superhuman performance perception creativity cognitive function turbocharging our design skill help u remember everything ever read name everyone ever meet we be middle renaissance ai gruber say every time machine get smarter get smarter,1
146,thing do know orgasm,bonk author mary roach delve into obscure scientific research some century old make surprise claim sexual climax range bizarre hilarious this aim at adult viewer discretion advise,1
147,visualize ourselves data,artist aaron koblin take vast amount data at time vast number people weave them into stun visualization from elegant line trace airline flight landscape cell phone data johnny cash video assemble draw wilderness downtown video customize user work brilliantly explore modern technology can make u more human,1
148,emergence print,print have grow sophistication since late ted fellow skylar tibbits shape next development which call print where fourth dimension time this emerge technology will allow u print object then reshape themselves or over time think print cube fold before your eye or print pipe able sense need expand or contract,1
149,ballroom dance break gender role,tango waltz foxtrot these classic ballroom dance quietly perpetuate an outdated idea man always lead woman always follow that an idea worth change say trevor copp jeff fox a they demonstrate their liquid lead dance technique along fellow dancer alida esmail watch a copp fox captivate command stage while boldly deconstruct transform art ballroom dance,-1
150,join seti search,seti institute jill tarter make her ted prize wish accelerate our search cosmic company use grow array radio telescope she her team listen pattern may be sign intelligence elsewhere universe,1
151,architecture repair itself,venice sink to save rachel armstrong say need outgrow architecture make inert material well make architecture grow itself she propose material do it own repair sequester carbon too,-1
152,camel hump,keith bellow gleefully outline engineer marvel camel vital creature call suv desert though could bring live camel ted get camera crew a close a humanly possible beast full rut,-1
153,adjustable eyeglass,josh silver deliver brilliantly simple solution correct vision at lowest cost possible adjustable lens at tedglobal demo affordable eyeglass reveal global plan distribute them billion people need by,-1
154,little problem i have rent house,year ago jam a white join u air force but a an african american man have go shock length find place young family live nearby he tell powerful story live experience everyday racism echo today way have teach grandchild interact police,1
155,scene my architect,nathaniel kahn share clip documentary my architect quest understand father legendary architect louis kahn it film mean anyone who seek understand relationship between art love,-1
156,build block blink beep teach,imagine set electronics a easy play a lego ted fellow ayah bdeir introduce littlebits set simple interchangeable block make program a simple important part creativity a snap block together,1
157,cool trick your phone can do,in engage conference new york time tech columnist david pogue round up some handy cell phone tool service can boost your productivity lower your bill your blood pressure,-1
158,this telescope might show u begin universe,when do universe begin a global group astronomer want answer question by peer a far back time a large new telescope will let u see wendy freedman head creation giant magellan telescope under construction south america at tedglobal rio she share bold vision discovery our universe gmt could make possible,1
159,what ant teach u brain cancer internet,ecologist deborah gordon study ant wherever she can find them desert tropic her kitchen in fascinate she explain her obsession insect most u would happily swat away without second think she argue ant life provide useful model learn many other topic include disease technology human brain,1
160,ask help strength not weakness,we all go through challenge some can see most ca say michele sullivan in perspective sullivan share story full wit wisdom remind u all part each other support system only shoe can walk be your own she say with compassion courage understand can walk together side by side,1
161,idea behind zipcar what come next,robin chase found zipcar world s biggest business that be one her smaller idea here she travel much farther contemplate scheme will shake up our drive habit mesh network vast a interstate,-1
162,my wish help me stop pandemic,accept ted prize larry brilliant talk smallpox be eradicate planet call new global system can identify contain pandemic before they spread,-1
163,magic amazon a river flow invisibly all around u,amazon river like heart pump water sea through up into atmosphere through billion tree which act like lung cloud form rain fall forest thrive in lyrical antonio donato nobre talk u through interconnect system region they provide environmental service entire world a parable extraordinary symphony nature,-1
164,a view,what if human consciousness darwinism what if be all just pawn corn clever strategy game rule earth author michael pollan ask u see world view,1
165,my green agenda architecture,architect norman foster discus own work show computer can help architect design build be green beautiful basically from dld conference munich,-1
166,what matter more than your talent,in princeton university graduation address amazon founder jeff bezos make case our character reflect not gift endow at birth but by choice make over course lifetime,-1
167,art puzzle,at eg conference famed puzzle designer scott kim take u inside frame mind sample career work introduce few most popular type share fascination inspire some best,-1
168,why will fail have great career,in funny blunt larry smith pull no punch when call out absurd excuse people invent when they fail pursue their passion,1
169,animate character by evolve them,torsten reil talk study biology can help make animate people by build human inside out bone muscle nervous system he speak at ted see work now,-1
170,an invitation men who want better world woman,around world woman still struggle equality basic matter like access education equal pay right vote but enlist everyone men woman a ally change meet elizabeth nyamayaro head un woman heforshe initiative which have create more than billion social medium conversation more equal world she invite u all join a ally our share humanity,1
171,for these woman read dare act,in some part world half woman lack basic read write skill reason vary but many case literacy value by father husband even mother photographer ted fellow laura boushnak travel country include yemen egypt tunisia highlight brave woman schoolgirl political activist mom who be fight statistic,-1
172,africa next boom,past decade have see slow steady economic growth across continent africa but economist charles robertson have bold thesis africa boom he talk through few indicator rise education level expand global investment not just china lead him predict rapid growth billion people sooner than may think,1
